"","Session","Question","Text","Residence"
"1",1,"1","The main problem is illegal fishing: dynamite and cyanide fishing using compressors. For general environmental issues, I would say the garbage and probably overexploitation. When did they start, I would say probably since the area has been populated. For the plastic pollution problem, it has started as soon as the plastic industry arrived here. Also I think the other problem is cutting the mangroves, especially in the Shark Fin Bay area, and accompanying siltation because of soil erosion coming from the mountains when they do slash and burn farming like the kaingin. Road construction is inevitable, we have to construct roads. I think anywhere else in the world when you have road construction you will have siltation eventually, but that is the price to pay. ","Taytay"
"2",1,"2","It's the main source of livelihood for Filipinos. The main source of protein comes from fish for most Filipinos, so it's very important for us. Now that tourism is becoming more and more important as a source of livelihood and alternative source of livelihood, it makes the marine and coastal environment more important. The more we can protect it and keep it nice and beautiful with high biodiversity, I think the more attractive it becomes for tourists.","Taytay"
"3",1,"3","In the Shark Fin Bay, one of the main issues is illegal fishing. I am not sure if they have declining fish stocks but probably. Sulubaai, when they started, there were very few fish there and now there are even more fish. So I would say that the fish population has been depleted. I have head stories that Shark Fin Bay used to be very abundant in terms of fish. According to the Mayor, the fishing industry peaked mid 1980 to early 1990 and the Mayor predicted that in twenty years time. It was big purse seines boats, with lights. ","Taytay"
"4",1,"4","Establishment of MPA is one. But I think the more important thing is education of the coastal communities especially children about the value of marine environment and introduction of alternative livelihood including sustainable tourism enterprises that can somehow take away the pressure from the fishing. And then, in terms of conservation and education, it has to include the importance of waste management and most probably the reforestation of damaged mangrove areas.","Taytay"
"5",1,"5a","Mainly to protect and replenish the marine resources in an area. It needs rehabilitation and an MPA can also act as a means to rehabilite areas but the general idea is to have a safe refuge for fishes, not just fishes but all marine resources where they have a chance to reproduce and eventually spillover near by areas and at least improve the fisheries.","Taytay"
"6",1,"5b","I think the first to benefit are the local people nearby and the resource nearby who are showcasing these MPAs as tourist attractions. If the MPA is big enough, it can provide seeds for other fishing areas, then even the further communities can benefit. If the MPA is big enough that the mature fishes and whatever that is there can reproduce and reproduce and give seeds, fingerlings and fries that will move to other marine areas that are traditional fishing grounds that can even help the communities that are far from the MPA through receiving of their spillover effect. If you have a huge MPA, or the entire Shark Fin Bay as an MPA.","Taytay"
"7",1,"5c","You must have a monitoring and evaluation. Must have a before and after study, not just the fish stocks of the MPA, but also the fish catch of the communities and the values of the communities towards conservation of natural resources. If we can change the values of the communities in terms simply for sea turtles. If the community sees see turtles as more valuable alive than as meat, or the horseshoue crab, as they are more valuable for tourism, as more tourist will come to visit instead of eating the sea turtle one time. It is like killing the goose that lays the golden egg.","Taytay"
"8",1,"6a","Mainly restoration of the habitat around Pangatalan island, but at the same time, community involvement providing help to the community in terms of employment, water supply, conservation, education, providing a more sustainable livelihood. At the same time, I think Sulubaai Foundation can also be a very good avenue for people outside the Philippines who has money and the resources that can help in supporting marine conservation in Taytay Bay. Basically, one of their objectives is also to fund sources that will support their conservation activities in the island and on the surrounding waters in the Shark Fin Bay and probably beyond as they grow bigger.","Taytay"
"9",1,"6b","I think their action is excellent, it is one of the best I have seen so far with the awards they have received and what I have been seeing in the island, and what I have been hearing from the people that are benefitting from them, they are doing a fantastic job. In terms of how it can be improved, Sulubaai should have someone who can really communicate very well with the local government so that the partnership can be strenghtened. The same as a community relations officer that can really relate to both the global aspect of Sulubaai foundation and the local needs and perspectives of the local communities. Something that can connect both the foundation and the community. They should have someone who is really good at connecting the two, as a medium. Sometimes, even if you have the purest intentions, but if your people midway that cannot communicate, is not conscious of the needs and of the local cultural situation in the community, that can create a disaster despite the purest conservation intentions. And improvement, I think the way they are doing is really good. I think they should really focus now on having that someone. Connecting Sulubaaï and LGUs and Sulubaaï and the communities. Sulubaaï, if they can strenghten their so-called social fence around Shark Fin Bay, I think that could really be their strongest pillar in terms of conservation for the Shark Fin Bay. If you have the support of the kids, and the teenagers and the older people there and then you have the support of the local politicians, then it would be very good. Also, I think it could be good to have someone who knows the intricacies of the local political situation so that they don't get politicized. You may have a Mayor now that is very good and has very good relationships with Sulubaai and then you have finally someone who is really opposed to that mayor. Even if Sulubaai has the best intentions, they could see them as ennemy just because they are with the opponent. Support the projects that are related to the objectives of the Sulubaai Foundation, but at the same time be independant enough, neutral enough that you can actually support anyone and also not alienating anyone. It is important to find someone that can find this very fine balance between being apolitical.","Taytay"
"10",1,"6c","Fantastic, but I think it is small. It has to expand. In line with the expansion, it has to also be tied more intimately with the community, and get the support from the community. Explain it well so thay can really have a support from the community.","Taytay"
