"ID","Session","Sex","Residence","Age","Job_1","Job_2","Fisherman","future_agriculture","future_alternative_livelihood","future_climate_change","future_deforestation","future_demography","future_destructive_tourism","future_development","future_discipline","future_education","future_enforcement","future_example","future_illegal_fishing","future_inequalities","future_mpa","future_natural_events","future_no_answer","future_no_corals","future_no_fish","future_no_resources","future_participation","future_poverty","future_sustainability","future_tourism_development","issue_badluck","issue_climatechange","issue_community_collaboration","issue_community_empowerment","issue_compressor_fishing","issue_connectivity","issue_crops","issue_cutting_mangroves","issue_cyanide_fishing","issue_deforestation","issue_degraded_ecosystems","issue_demography","issue_dependence_resource","issue_deterioration_resources","issue_dynamite_fishing","issue_education","issue_erosion","issue_fauna","issue_few_fish","issue_foreign_fishermen","issue_illegal_fishing","issue_illegalfishing_decrease","issue_inequalities","issue_infrastructure","issue_lowprice_fish","issue_mining","issue_mpa","issue_natural_events","issue_nets_smallmesh","issue_no","issue_overfishing","issue_pearlfarms","issue_policy","issue_political_action","issue_pollution","issue_poverty","issue_respect_mutual","issue_respect_law","issue_thefts","issue_tourism","issue_trade_fish","issue_trawl_fishing","issue_water_access","issue_weather","mpa_against_foreign_fishermen","mpa_against_illegal_fishermen","mpa_benefit_coral","mpa_benefit_ecosystems","mpa_benefit_fish","mpa_benefit_fishermen","mpa_benefit_government","mpa_benefit_locals","mpa_benefit_managers","mpa_benefit_nextgeneration","mpa_benefit_noidea","mpa_benefit_otherpeople","mpa_benefit_owners","mpa_benefit_poverty","mpa_benefit_shells","mpa_benefit_tourists","mpa_benefit_connectivity","mpa_benefit_fishfeeding","mpa_goal_biodiversity","mpa_goal_economy","mpa_goal_fishery","mpa_goal_food","mpa_goal_noidea","mpa_goal_people","mpa_goal_sea","mpa_goal_tourism","mpa_improve_ecosystem","mpa_natural_resources","mpa_need_capacity","mpa_need_compliance","mpa_need_education","mpa_need_funds","mpa_need_incnlusiveness","mpa_need_law","mpa_need_management","mpa_need_monitoring","mpa_need_no_outsiders","mpa_need_noidea","mpa_need_no_otherthreas","mpa_need_patrol","mpa_need_political_support","mpa_need_people_support","mpa_need_yields","mpa_nursery","mpa_patrolling","mpa_protect","mpa_restore_ecosystem","mpa_spillover","mpa_sustainability","ngo_advice_develop","ngo_advice_enforcement","ngo_advice_involve","ngo_capacity","ngo_conservation","ngo_education","ngo_employment","ngo_enforcement","ngo_example","ngo_good_opinion","ngo_help","ngo_mpa","ngo_mpa_agree","ngo_mpa_develop","ngo_mpa_efficient","ngo_mpa_noopinion","ngo_goal_noopinion","ngo_no_advice","ngo_fight_pollution","ngo_water_access","solution_alternative_livelihood","solution_aquaculture","solution_arrest","solution_capacity_building","solution_collaboration","solution_compliance","solution_diminish_fishing","solution_education","solution_enforcement","solution_exterior_help","solution_fishban","solution_fisherfolk_organization","solution_funding","solution_law","solution_mpa","solution_no_idea","solution_patrolling","solution_protection","solution_restoration","solution_tourism","solution_village_officials","solution_wastewater_management","value_biodiversity","value_carbon_capture","value_connectivity","value_food","value_health","value_livelihood","value_money","value_nature","value_next_generation","value_no_idea","value_religious","value_resources","value_services","value_species","value_tourism","value_tradition"
"T01",1,"M","Taytay",37,"Municipality","","No",1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"T02",2,"M","Taytay",49,"Municipality","","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"T03",3,"F","Taytay",36,"Municipality","","No",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"D01",4,"F","Depla",54,"Bgy Captain","Fisherman","Yes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"T04",5,"M","Taytay",53,"Municipality","","No",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"T05",6,"F","Taytay",30,"Municipality","","No",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"T06",7,"F","Taytay",34,"Municipality","","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"PP01",8,"M","Puerto Princesa",68,"Scientist","","No",1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"SA01",9,"M","Sandoval",59,"Fisherman","","Yes",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"D02",10,"M","Depla",55,"Fisherman","","Yes",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
